n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
10,0.01,0.9,1,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7804,41
10,0.01,0.9,2,ns3::TcpLinuxReno,2,1912,36,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,3,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,4,ns3::TcpLinuxReno,2,1652,31,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,5,ns3::TcpLinuxReno,2,1712,32,328,10,10,9,0.9,1,3014.06,7296,41
10,0.01,0.9,6,ns3::TcpLinuxReno,2,1712,32,328,10,10,10,1,1,14.0616,7296,41
10,0.01,0.9,7,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,8,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,9,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,10,ns3::TcpLinuxReno,2,1652,31,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,11,ns3::TcpLinuxReno,2,1712,32,328,10,10,10,1,1,14.0616,7296,41
10,0.01,0.9,12,ns3::TcpLinuxReno,2,1964,37,328,10,10,9,0.9,1,3014.06,7296,41
10,0.01,0.9,13,ns3::TcpLinuxReno,2,1652,31,328,10,10,10,1,1,14.0616,7296,41
10,0.01,0.9,14,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,15,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,16,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,1014.06,7860,42
10,0.01,0.9,17,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,18,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7296,41
10,0.01,0.9,19,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.01,0.9,20,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.05,0.9,1,ns3::TcpLinuxReno,2,1912,36,328,10,10,9,0.9,1,1014.06,8932,43
10,0.05,0.9,2,ns3::TcpLinuxReno,2,1912,36,328,10,10,10,1,1,14.0616,7240,40
10,0.05,0.9,3,ns3::TcpLinuxReno,2,1764,33,328,10,10,10,1,1,1014.06,7860,42
10,0.05,0.9,4,ns3::TcpLinuxReno,2,1964,37,328,10,10,9,0.9,1,14.0616,7240,40
10,0.05,0.9,5,ns3::TcpLinuxReno,2,1816,34,328,10,10,9,0.9,1,3014.06,7296,41
10,0.05,0.9,6,ns3::TcpLinuxReno,2,1816,34,328,10,10,10,1,1,1014.06,7860,42
10,0.05,0.9,7,ns3::TcpLinuxReno,2,1712,32,328,10,10,9,0.9,1,14.0616,7296,41
10,0.05,0.9,8,ns3::TcpLinuxReno,2,1768,33,328,10,10,10,1,1,3014.06,7352,42
10,0.05,0.9,9,ns3::TcpLinuxReno,2,2224,42,328,10,10,10,1,1,14.0616,7296,41
10,0.05,0.9,10,ns3::TcpLinuxReno,2,1652,31,328,10,10,9,0.9,1,1014.06,7804,41
10,0.05,0.9,11,ns3::TcpLinuxReno,2,1712,32,328,10,10,10,1,1,3014.06,7352,42
10,0.05,0.9,12,ns3::TcpLinuxReno,2,2068,39,328,10,10,9,0.9,1,3014.06,7352,42
10,0.05,0.9,13,ns3::TcpLinuxReno,2,1764,33,328,10,10,10,1,1,3014.06,9608,46
10,0.05,0.9,14,ns3::TcpLinuxReno,2,1600,30,328,10,10,9,0.9,1,3014.06,8424,43
10,0.05,0.9,15,ns3::TcpLinuxReno,2,1600,30,328,10,10,9,0.9,1,3014.06,7296,41
10,0.05,0.9,16,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,1014.06,7860,42
10,0.05,0.9,17,ns3::TcpLinuxReno,2,1712,32,328,10,10,10,1,1,3014.06,7916,43
10,0.05,0.9,18,ns3::TcpLinuxReno,2,1656,31,328,10,10,10,1,1,3014.06,8988,44
10,0.05,0.9,19,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.05,0.9,20,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,14.0616,7240,40
10,0.1,0.9,1,ns3::TcpLinuxReno,2,2336,44,328,10,10,8,0.8,0,0,10116,46
10,0.1,0.9,2,ns3::TcpLinuxReno,2,2336,44,328,10,10,10,1,1,1014.06,7860,42
10,0.1,0.9,3,ns3::TcpLinuxReno,2,2076,39,328,10,10,8,0.8,0,0,8424,43
10,0.1,0.9,4,ns3::TcpLinuxReno,2,2084,39,296,9,9,7,0.7,0,0,7920,43
10,0.1,0.9,5,ns3::TcpLinuxReno,2,1868,35,328,10,10,8,0.8,0,0,7352,42
10,0.1,0.9,6,ns3::TcpLinuxReno,2,1816,34,328,10,10,9,0.9,1,3014.06,7860,42
10,0.1,0.9,7,ns3::TcpLinuxReno,2,1928,36,328,10,10,9,0.9,1,3014.06,7916,43
10,0.1,0.9,8,ns3::TcpLinuxReno,2,2192,41,328,10,10,10,1,1,3014.06,7408,43
