n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
1000,0.01,0.9,1,ns3::TcpLinuxReno,2,165944,3114,32008,1000,1000,984,0.984,1,14.0616,732396,4032
1000,0.01,0.9,2,ns3::TcpLinuxReno,2,166552,3125,32008,1000,1000,987,0.987,1,14.0616,729860,4023
1000,0.01,0.9,3,ns3::TcpLinuxReno,2,165452,3103,32008,1000,1000,987,0.987,1,14.0616,732224,4038
1000,0.01,0.9,4,ns3::TcpLinuxReno,2,164340,3082,32008,1000,1000,992,0.992,1,14.0616,730536,4026
1000,0.01,0.9,5,ns3::TcpLinuxReno,2,163596,3067,32008,1000,1000,990,0.99,1,14.0616,731488,4043
1000,0.01,0.9,6,ns3::TcpLinuxReno,2,164380,3083,32008,1000,1000,988,0.988,1,14.0616,729972,4025
1000,0.01,0.9,7,ns3::TcpLinuxReno,2,164136,3078,32008,1000,1000,991,0.991,1,14.0616,730816,4031
1000,0.01,0.9,8,ns3::TcpLinuxReno,2,163832,3072,32008,1000,1000,988,0.988,1,14.0616,733580,4035
1000,0.01,0.9,9,ns3::TcpLinuxReno,2,164508,3085,31976,999,999,985,0.985,1,14.0616,730708,4029
1000,0.01,0.9,10,ns3::TcpLinuxReno,2,165044,3095,32008,1000,1000,992,0.992,1,14.0616,728956,4025
1000,0.01,0.9,11,ns3::TcpLinuxReno,2,163524,3067,32008,1000,1000,990,0.99,1,14.0616,730932,4024
1000,0.01,0.9,12,ns3::TcpLinuxReno,2,165200,3098,32008,1000,1000,987,0.987,1,14.0616,731888,4032
1000,0.01,0.9,13,ns3::TcpLinuxReno,2,163992,3076,32008,1000,1000,992,0.992,1,14.0616,733468,4033
1000,0.01,0.9,14,ns3::TcpLinuxReno,2,164036,3077,32008,1000,1000,996,0.996,1,14.0616,731384,4023
1000,0.01,0.9,15,ns3::TcpLinuxReno,2,166148,3116,32008,1000,1000,992,0.992,1,14.0616,729856,4032
1000,0.05,0.9,1,ns3::TcpLinuxReno,2,182420,3426,31688,990,990,930,0.93,1,3014.06,756320,4141
1000,0.05,0.9,2,ns3::TcpLinuxReno,2,186532,3503,31912,997,997,944,0.944,1,3014.06,754936,4144
1000,0.05,0.9,3,ns3::TcpLinuxReno,2,182264,3421,31912,997,997,941,0.941,1,3014.06,760972,4152
1000,0.05,0.9,4,ns3::TcpLinuxReno,2,180352,3384,31784,993,993,949,0.949,1,3014.06,749200,4132
1000,0.05,0.9,5,ns3::TcpLinuxReno,2,181540,3407,31784,993,993,944,0.944,1,3014.06,760304,4167
